Month,CardName,MainCategory,Category,Description,Amount,Comment
2025-06,Citi_Double,Class,Class,CITY OF PBG WEBSITE PALM BEACH GA FL,60.0,
2025-06,Citi_Double,Class,Class,NORTH COUNTY AQUATIC C JUPITER FL,60.0,
2025-06,Citi_Double,Insurance,Insurance,GEICO *AUTO 800-841-3000 DC,673.0,
2025-06,Citi_Double,Shopping,Bath&Body,BATH & BODY WORKS 3814 PALM BEACH GA FL null XXXXXXXXXXXX9181,5.34,
2025-06,Citi_Double,Shopping,Dress,ROSS STORES #1761 W PALM BEACH FL null XXXXXXXXXXXX9181,8.55,
2025-06,Citi_Double,Shopping,Dress,"carters, Inc. Atlanta GA",11.11,
2025-06,Citi_Double,Shopping,HomeDepot,THE HOME DEPOT #0220 LAKE PARK FL null XXXXXXXXXXXX9181,5.32,
2025-06,Citi_Double,Trip,Room Rental,AIRBNB * HMCRW4P2JM 4158005959 CA null XXXXXXXXXXXX9410,924.35,
2025-06,WellsFargo,Shopping,Shein,SHEIN.COM 844-8022500 NY,35.01,
2025-07,Amex_Bharu,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,149.49,
2025-07,Amex_Bharu,Grocery,SAMS,SAM'S CLUB FUEL 6406NIAGARA FALLS       NY,31.02,
2025-07,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,153.42000000000002,
2025-07,Amex_Bharu,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,53.45,
2025-07,Amex_Bharu,Shopping,DollarTree,AplPay DOLLAR TREE 0LAKE PARK           FL,10.43,
2025-07,Amex_Bharu,Shopping,DollarTree,AplPay DOLLARTREE 00NORTH PALM BE       FL,11.77,
2025-07,Amex_Bharu,Shopping,Temu,AplPay BT*TEMU.COM  BOSTON              MA,1.05,
2025-07,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,68.28,
2025-07,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERNIAGARA FALLS       NY,29.29,
2025-07,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERWEST PALM BEACH     FL,43.47,
2025-07,Amex_Bharu,Shopping,Walmart,WALMART.COM         WALMART.COM         AR,18.92,
2025-07,Amex_Bharu,Trip,Trip Activities,AplPay TOP OF THE FA716-278-0337        NY,7.55,
2025-07,Amex_Blue_Cash,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,39.9,
2025-07,Amex_Blue_Cash,Shopping,Macys,MACYS   .COM 0000001MASON               OH,55.22,
2025-07,Amex_Blue_Cash,Toll,Parking,CITY OF WPB PARKING WEST PALM BEA       FL,5.0,
2025-07,Amex_Blue_Cash,Toll,Sunpass,SUNPASS*ACC121623655888-865-5352        FL,20.0,
2025-07,Amex_Preferred,Card Renewal,Card Renewal,RENEWAL MEMBERSHIP FEE,95.0,
2025-07,Amex_Preferred,Food,Pizza,AplPay SBARRO PALM BWEST PALM BEA       FL,23.49,
2025-07,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,19.26,
2025-07,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77019 77LAKE WORTH          FL,20.62,
2025-07,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77051 77JUPITER             FL,10.21,
2025-07,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN 0000WEST PALM BEACH     FL,3.4,
2025-07,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       PALM BEACH GARDENS  FL,4.69,
2025-07,Amex_Preferred,Grocery,Publix,AplPay PUBLIX #1810 ORLANDO             FL,10.29,
2025-07,Amex_Preferred,Grocery,Publix,AplPay PUBLIX #2021 PALM BEACH GA       FL,8.11,
2025-07,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,180.69,
2025-07,Amex_Preferred,Shopping,Burlington,AplPay BURLINGTON STWEST PALM BEA       FL,20.31,
2025-07,Amex_Preferred,Shopping,DollarTree,AplPay CLAIRES 0696 WEST PALM BEA       FL,5.35,
2025-07,Amex_Preferred,Shopping,Dress,AplPay ROSS STORES #W PALM BEACH        FL,28.87,
2025-07,Amex_Preferred,Shopping,Shein,AplPay SHEIN.COM 000NEW YORK            NY,33.3,
2025-07,Amex_Preferred,Shopping,Target,AplPay TARGET       LAKE PARK           FL,27.17,
2025-07,Amex_Preferred,Water,Water,AplPay NYX=PRIMO WATHUNT VALLEY         MD,1.4,
2025-07,Bilt,Food,Indian Restaurant,HYDERABAD CAFE GOLDEN OAK FL,57.150000000000006,
2025-07,Bilt,Food,Indian Restaurant,TST*PARADISE BIRYANI P PARMA OH,47.99,
2025-07,Bilt,Food,Indian Restaurant,ZAIKA INDIAN CUISINE NIAGARA FALLSNY,100.0,
2025-07,Bilt,Food,KFC,KFC G135308 FLORIDA CITY FL,9.1,
2025-07,Bilt,Food,McDonald,MCDONALD'S F4447 NIAGARA FALLSNY,19.01,
2025-07,Bilt,Food,Pizza,DOMINO'S 4857 FAIRVIEW PA,29.64,
2025-07,Bilt,Food,Pizza,DOMINO'S 5062 NORTH PALM BEFL,32.05,
2025-07,Bilt,Food,Popeyes,POPEYES 4549 RIVIERA BEACHFL,6.42,
2025-07,Bilt,Food,Wendys,WENDY'S 13023 MARATHON FL,13.53,
2025-07,Bilt,Food,Wingstop,WINGSTOP 1122 LAKE PARK FL,28.87,
2025-07,Bilt,RENT,RENT,BPS*BILT RENT NEW YORK NY,2498.54,
2025-07,Bilt,Toll,Parking,NIC*-DEP FT ZACHARY TA KEY WEST FL,8.0,
2025-07,Citi_Costco,Gas,Gas Station,COSTCO GAS #0091 DAVIE FL,16.44,
2025-07,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,90.39,
2025-07,Citi_Costco,Gas,Gas Station,COSTCO GAS #1226 HUDSON OH,47.81,
2025-07,Citi_Costco,Gas,Gas Station,COSTCO GAS #651 S ORLAND ORLANDO FL,13.91,
2025-07,Citi_Costco,Gas,Gas Station,EXXON 7-ELEVEN 34984 MIAMI FL,10.53,
2025-07,Citi_Costco,Gas,Gas Station,SHELL OIL 57543662407 LAKE WORTH FL,4.66,
2025-07,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,1151.06,
2025-07,Citi_Costco,Grocery,Costco,COSTCO WHSE #1229 MIAMI FL,15.57,
2025-07,Citi_Costco,Grocery,Costco,COSTCO WHSE #651 ORLANDO FL,54.99,
2025-07,Citi_Costco,Grocery,SAMS,SAMS CLUB #6406 NIAGARA FALLSNY,12.19,
2025-07,Citi_Costco,Toll,Parking,95497 - STANDARD PARKING CLEVELAND OH,25.0,
2025-07,Citi_Costco,Toll,Parking,NIAGARA FALLS ST PK POS3 NIAGARA FALLSNY,15.0,
2025-07,Citi_Costco,Trip,Room Rental,Hotel at Booking.com Amsterdam NL,66.61,
2025-07,Citi_Costco,Trip,Room Rental,Partners on Booking BV Amsterdam NL,149.81,
2025-07,Citi_Double,Toll,Parking,AIRPORTPARKINGRESERVAT 8007275464 IL null XXXXXXXXXXXX9181,36.76,
2025-07,WellsFargo,Class,Class,VSI*PBC PARKS WEB 561-9666600 FL,60.0,
2025-07,WellsFargo,Grocery,Restaurant Depot,RESTAURANT DEPOT RIVIERA BEACHFL,16.45,
2025-07,WellsFargo,Interest,Interest,BALANCE TRANSFER FEE,250.0,
2025-07,WellsFargo,Shopping,Macys,MACYS PALM BEACH GRDNS PALM BEACH GAFL,7.51,
2025-07,WellsFargo,Trip,Car Rental,TURO INC.* TRIP JUL 18 TURO.COM CA,18.4,
2025-07,WellsFargo,Trip,Trip Activities,HAYSTACH DRYERS ORLANDO FL,6.0,
2025-07,WellsFargo,Trip,Trip Activities,HUDSONNEWS ST732 CLEVELAND OH,4.1,
2025-07,WellsFargo,Trip,Trip Activities,NIAGARA FALLS STATE PARK NIAGARA FALLSNY,230.0,
2025-08,Amex_Bharu,Class,Class,PALM BEACH* PALM BEAPALM BEACH GARDENS  FL,252.0,
2025-08,Amex_Bharu,Class,Class,VSI*PBC PARKS WEB   LAKE WORTH          FL,60.0,
2025-08,Amex_Bharu,Movie,Movie,CINEMARK            PLANO               TX,265.35,
2025-08,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,244.44,
2025-08,Amex_Bharu,Shopping,Amazon,AMAZON.COM          AMZN.COM/BILL       WA,5.36,
2025-08,Amex_Bharu,Shopping,Temu,AplPay BT*TEMU.COM  BOSTON              MA,42.95,
2025-08,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,125.72,
2025-08,Amex_Bharu,Toll,Parking,CITY OF NAPLES 71820NAPLES              FL,15.5,
2025-08,Amex_Bharu,Trip,Trip Activities,PURE FLORIDA        NAPLES              FL,26.0,
2025-08,Amex_Blue_Cash,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,83.53999999999999,
2025-08,Amex_Blue_Cash,Shopping,Temu,BT*TEMU.COM         BOSTON              MA,15.73,
2025-08,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,71.64,
2025-08,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN 0000WEST PALM BEACH     FL,24.27,
2025-08,Amex_Preferred,Grocery,Publix,AplPay PUBLIX       WEST PALM BEACH     FL,11.54,
2025-08,Amex_Preferred,Grocery,Publix,AplPay PUBLIX #2021 PALM BEACH GA       FL,59.59,
2025-08,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,124.22999999999999,
2025-08,Amex_Preferred,Water,Water,AplPay NYX=PRIMO WATHUNT VALLEY         MD,5.6,
2025-08,Bilt,Class,Class,PANDA EXPRESS #3007 PALM BEACH GAFL,23.33,
2025-08,Bilt,Food,BurgerKing,BURGER KING #4451 Q07 RIVIERA BEACHFL,5.55,
2025-08,Bilt,Food,Indian Restaurant,THE INDIAN BISTRO CAPE CORAL FL,107.18,
2025-08,Bilt,Food,Office Food,ARAMARK FP AND L JUNO JUNO BEACH FL,30.68,
2025-08,Bilt,Food,Popeyes,POPEYES 4549 RIVIERA BEACHFL,31.01,
2025-08,Bilt,RENT,RENT,BPS*BILT RENT NEW YORK NY,2499.06,
2025-08,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,106.3,
2025-08,Citi_Costco,Gas,Gas Station,COSTCO GAS #0351 FORT MYERS FL,16.08,
2025-08,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,391.63,
2025-08,Citi_Double,Food,Office Food,ARAMARK FP AND L JUNO JUNO BEACH FL null XXXXXXXXXXXX9181,11.6,
2025-08,Citi_Double,Insurance,Insurance,GEICO *AUTO 800-841-3000 DC,30.27,
2025-08,Citi_Double,Interest,Interest,INTEREST CHARGED TO STANDARD PURCH,29.81,
2025-08,Citi_Double,Medicine,Medicine,CVS/PHARMACY #00712 NAPLES FL null XXXXXXXXXXXX9181,21.98,
2025-08,Citi_Double,Medicine,Medicine,CVS/PHARMACY #03616 FORT MYERS FL null XXXXXXXXXXXX9181,4.79,
2025-08,Citi_Double,Shopping,DollarTree,DOLLARTREE NORTH PALM BE FL null XXXXXXXXXXXX9181,2.94,
2025-08,Citi_Double,Shopping,Dress,THE CHILDREN'S PLACE 18777522387 NJ null XXXXXXXXXXXX9181,10.97,
2025-08,Citi_Double,Shopping,HomeDepot,OFFICE DEPOT #211 8004633768 FL,10.56,
2025-08,Citi_Double,Shopping,Target,TARGET 00019414 WEST PALM BEA FL null XXXXXXXXXXXX9181,40.41,
2025-08,Citi_Double,Subscription,Streaming,Lycatel LLC Newark NJ null XXXXXXXXXXXX9181,15.75,
2025-08,Citi_Double,Trip,Trip Activities,"Groupon, Inc. 312-288-6424 IL null XXXXXXXXXXXX9181",73.86,
2025-08,Citi_Double,Trip,Trip Activities,RAILROAD MUSEUM OF SOU FORT MYERS FL null XXXXXXXXXXXX9181,30.0,
2025-08,Citi_Double,Water,Water,Nayax **Primo Water Co Vista CA null XXXXXXXXXXXX9181,2.6,
2025-08,WellsFargo,Interest,Interest,INTEREST CHARGE ON PURCHASES,5.21,
2025-08,WellsFargo,Shopping,BJS,BJS WHOLESALE #0227 WEST PALM BEAFL,87.08,
2025-08,WellsFargo,Shopping,Temu,TEMU.COM 130-248-0611 MA,0.48,
2025-09,Amex_Bharu,Food,Thai,RICE AND NOODLE     561-623-0102        FL,11.65,
2025-09,Amex_Bharu,Shopping,Amazon,AMAZON MARKEPLACE NA PA,34.81,
2025-09,Amex_Bharu,Shopping,Bath&Body,BATHANDBODYWORKS.COM,19.1,
2025-09,Amex_Bharu,Shopping,Walmart,WAL-MART SUPERCENTERLAKE PARK           FL,9.4,
2025-09,Amex_Bharu,Shopping,Walmart,WALMART.COM         WALMART.COM         AR,3.41,
2025-09,Amex_Blue_Cash,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,95.23,
2025-09,Amex_Blue_Cash,Toll,Sunpass,SUNPASS*ACC121623655888-865-5352        FL,10.0,
2025-09,Amex_Preferred,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,79.36,
2025-09,Amex_Preferred,Grocery,Farmers Market,AplPay TROPICAL FARMWEST PALM BEA       FL,7.53,
2025-09,Amex_Preferred,Grocery,FoodTown,AplPay FOODTOWN 0000WEST PALM BEACH     FL,60.4,
2025-09,Amex_Preferred,Grocery,Publix,AplPay PUBLIX #2021 PALM BEACH GA       FL,11.06,
2025-09,Amex_Preferred,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,151.82999999999998,
2025-09,Amex_Preferred,Water,Water,AplPay NYX=PRIMO WATHUNT VALLEY         MD,3.5,
2025-09,Bilt,Car Wash,Car Wash,EL CAR WASH ONLINE CORAL GABLES FL,38.52,
2025-09,Bilt,Food,KFC,KFC G979004 HOLLYWOOD FL,52.36,
2025-09,Bilt,Food,McDonald,MCDONALD'S F28730 PALM BEACH GAFL,33.79,
2025-09,Bilt,Food,Olive gardens,OLIVE GARDEN ZK 002644 WEST PALM BEAFL,38.61,
2025-09,Bilt,Food,Pizza,DOMINO'S 3879 WEST PALM BEAFL,13.89,
2025-09,Bilt,Food,Pizza,DOMINO'S 5062 NORTH PALM BEFL,10.69,
2025-09,Bilt,Food,Pizza,PIZZA HUT 037638 PALM BEACH GAFL,5.87,
2025-09,Bilt,Food,Popeyes,POPEYES 4549 RIVIERA BEACHFL,20.32,
2025-09,Bilt,Food,Thai,ONE THAI PALM BEACH GAFL,24.5,
2025-09,Bilt,RENT,RENT,BPS*BILT RENT NEW YORK NY,2498.12,
