Date,Amount,Description
6/21/2024,75.59,"CHUCKEMEMBERSHIP/FUNPA 972-258-8507 ,TX"
6/21/2024,5.08,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/20/2024,2.14,"PANDA EXPRESS #3007 P olo.com      ,FL"
6/19/2024,69.24,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/17/2024,6.09,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL"
6/17/2024,10.49,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
6/17/2024,21.69,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/16/2024,2.66,"BURGER KING #4451 glenn@phoenix,FL"
6/16/2024,6.41,"BURGER KING #4451 glenn@phoenix,FL"
6/15/2024,8.34,"FIVE GUYS 135 QSR PALM BEACH GA,FL"
6/13/2024,9.08,"DOMINO'S 3879 WEST PALM BEA,FL"
6/13/2024,51.91,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/10/2024,35.31,"COSTCO GAS #0093 LAKE PARK    ,FL"
6/10/2024,8.63,"ALDI 77013 LAKE PARK    ,FL"
6/10/2024,49.00,"HOMEAGLOW FOREVERCLEAN CLEANINGBILL.,TX"
6/10/2024,21.05,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/8/2024,8.35,"MB-PARKING PARKMOBILE www.parkmobil,FL"
6/8/2024,54.00,"MDC ZOO MIAMI ONLINE 305-2510400  ,FL"
6/8/2024,6.41,"BURGER KING #4511 MRODRIGUEZ@RB,FL"
6/7/2024,2.14,"LITTLE CAESARS 1613-0005 561-360-2603 ,FL"
6/7/2024,6.29,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/7/2024,5.99,"COSTCO WHSE #0093 PALM BEACH GA,FL"
6/4/2024,1.07,"MINT ECO CAR WASH - OKEE WEST PALM BEA,FL"
6/1/2024,3.20,"BURGER KING #11109 JPATEL@BK-FL.,FL"
6/1/2024,"1,282.93","APPLE STORE  #R127 PALM BCH GDNS,FL"
6/1/2024,31.26,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
5/31/2024,206.48,"SP LION COUNTRY HTTPSLIONCOUN,FL"
5/30/2024,55.67,"SPICE OF INDIA - WEST PAL WEST PALM BEA,FL"
5/29/2024,38.05,"COSTCO GAS #0623 ROYAL PALM BE,FL"
5/29/2024,6.69,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
5/29/2024,5.86,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
5/29/2024,91.64,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
5/28/2024,7.37,"WENDY'S #451 PALM BEACH GA,FL"
5/27/2024,3.60,"WAL-MART #4446 WEST PALM BEA,FL"
5/26/2024,29.10,"COSTCO GAS #0183 ALTAMONTE SPR,FL"
5/26/2024,21.29,"BAWARCHI BIRYANIS ORLAND ORLANDO      ,FL"
5/25/2024,266.59,"SAMS CLUB SERVICES 833-494-7267 ,FL"
5/24/2024,38.30,"COSTCO GAS #0093 LAKE PARK    ,FL"
5/24/2024,113.31,"GARDEN PEDIATRICS PBG JUPITER      ,FL"
5/24/2024,170.85,"Groupon, Inc. groupon.com  ,IL"
5/23/2024,9.08,"DOMINO'S 3879 WEST PALM BEA,FL"
5/23/2024,17.66,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/22/2024,5.98,"BURGER KING #4090 MRODRIGUEZ@RB,FL"
5/22/2024,12.09,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
5/20/2024,49.87,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/19/2024,64.17,"TST* 5TH ELEMENT INDIAN G Pompano Beach,FL"
5/19/2024,121.00,"SQ *SHIVA VISHNU TEMPLE O Southwest Ran,FL"
5/16/2024,9.08,"DOMINO'S 5062 NORTH PALM BE,FL"
5/16/2024,114.90,"BKGHOTEL AT BOOKING.C 8888503958   ,NY"
5/15/2024,38.05,"COSTCO GAS #0093 LAKE PARK    ,FL"
5/15/2024,-5.97,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/15/2024,37.40,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/14/2024,17.12,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/13/2024,49.00,"HOMEAGLOW FOREVERCLEAN CLEANINGBILL.,TX"
5/8/2024,5.87,"BURGER KING #4451 glenn@phoenix,FL"
5/8/2024,-7.46,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/8/2024,48.70,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/8/2024,16.05,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/6/2024,23.32,"POLLO TROPICAL 10048 LAKE PARK    ,FL"
5/5/2024,92.45,"COSTCO WHSE #0093 PALM BEACH GA,FL"
5/4/2024,6.14,"BURGER KING #4451 glenn@phoenix,FL"
5/4/2024,14.27,"CHICK-FIL-A #02201 561-242-9172 ,FL"
5/2/2024,39.80,"COSTCO GAS #0093 LAKE PARK    ,FL"
5/2/2024,39.00,"HOMEAGLOW 4.0HR VOUCHE CLEANINGBILL.,TX"
5/2/2024,154.82,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/30/2024,12.09,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
4/30/2024,10.38,"PUBLIX #1618 PALM BEACH GA,FL"
4/30/2024,12.99,"9894 GREAT CLIPS AT DONAL PALM BEACH GA,FL"
4/29/2024,45.89,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/28/2024,16.46,"BURGER KING #4451 glenn@phoenix,FL"
4/28/2024,14.71,"DOLLAR TREE WEST PALM BEA,FL"
4/27/2024,29.50,"SOUTH FLORIDA FAIR 561-790-5215 ,FL"
4/26/2024,14.00,"8922 GREAT CLIPS AT FRENC PALM BEACH GA,FL"
4/25/2024,3.60,"WAL-MART #3348 LAKE PARK    ,FL"
4/23/2024,7.48,"DOMINO'S 3879 WEST PALM BEA,FL"
4/23/2024,14.05,"SP MANILALGANDHI HTTPSMANILALG,AL"
4/22/2024,17.79,"CHICK-FIL-A #00374 561-624-0144 ,FL"
4/21/2024,27.15,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/19/2024,37.90,"COSTCO GAS #0093 LAKE PARK    ,FL"
4/19/2024,68.76,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
4/19/2024,-12.49,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
4/19/2024,2.66,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
4/18/2024,19.99,"SPICE OF INDIA - WEST PAL WEST PALM BEA,FL"
4/15/2024,12.91,"BURGER KING #4451 glenn@phoenix,FL"
4/15/2024,13.16,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
4/15/2024,48.01,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/15/2024,2.13,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/11/2024,9.08,"DOMINO'S 3879 WEST PALM BEA,FL"
4/10/2024,39.27,"COSTCO GAS #0093 LAKE PARK    ,FL"
4/10/2024,1.07,"PANDA EXPRESS #3007 P olo.com      ,FL"
4/10/2024,1.07,"PANDA EXPRESS #3007 P olo.com      ,FL"
4/10/2024,60.25,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/9/2024,-287.83,"BEST BUY MHT  00006882 PALM BEACH GA,FL"
4/8/2024,-65.00,"CASH BACK REDEMPTION REF 146063325   ,"
4/8/2024,10.28,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/7/2024,24.65,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/6/2024,20.00,"SQ *VILLAGE OF NORTH PALM North Palm Be,FL"
4/6/2024,6.20,"BURGER KING #4451 glenn@phoenix,FL"
4/6/2024,7.05,"BURGER KING #4451 glenn@phoenix,FL"
4/6/2024,9.08,"DOMINO'S 5062 NORTH PALM BE,FL"
4/6/2024,20.60,"VSI*VNPB REC WEB 561-8413380  ,FL"
4/3/2024,8.74,"BURGER KING #4451 glenn@phoenix,FL"
4/3/2024,5.72,"CHICK-FIL-A #01827 561-842-5805 ,FL"
4/2/2024,35.59,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/1/2024,287.83,"BESTBUYCOM806928683476 888BESTBUY   ,MN"
4/1/2024,352.03,"BESTBUYCOM806928749001 888BESTBUY   ,MN"
4/1/2024,31.64,"COSTCO WHSE #0093 PALM BEACH GA,FL"
4/1/2024,1.07,"DOLLAR TREE LAKE PARK    ,FL"
4/1/2024,1.07,"DOLLARTREE NORTH PALM BE,FL"
3/31/2024,16.03,"BUFFALO WILD WNGS 3989 POMPANO BEACH,FL"
3/30/2024,18.83,"CHICK-FIL-A #01827 561-842-5805 ,FL"
3/30/2024,12.09,"PANDA EXPRESS 1188 DAVIE        ,FL"
3/30/2024,30.58,"IKEA SUNRISE SUNRISE      ,FL"
3/30/2024,3.73,"COSTCO WHSE #0091 DAVIE        ,FL"
3/27/2024,10.53,"USPS PO 1194490109 PALM BEACH GA,FL"
3/27/2024,26.63,"FOCUSED ON FOREVER 772-283-6807 ,FL"
3/27/2024,9.88,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/27/2024,5.86,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/26/2024,10.69,"CHINATOWN OF PALM BCH PALM BEACH GA,FL"
3/25/2024,57.35,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/25/2024,-15.50,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/24/2024,35.80,"COSTCO GAS #0093 LAKE PARK    ,FL"
3/23/2024,10.58,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/23/2024,-5.35,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/22/2024,40.00,"CARUSO EYE CARE LAKE WORTH   ,FL"
3/22/2024,57.21,"COSTCO WHSE #0180 LANTANA      ,FL"
3/22/2024,4.26,"COSTCO WHSE #0180 LANTANA      ,FL"
3/22/2024,5.34,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/22/2024,11.29,"FIVE BELOW 938 LAKE WORTH   ,FL"
3/22/2024,6.15,"TARGET        00020651 LAKE WORTH   ,FL"
3/21/2024,8.98,"DOMINO'S 3879 WEST PALM BEA,FL"
3/20/2024,12.09,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
3/20/2024,34.34,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/18/2024,13.95,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL"
3/16/2024,6.94,"CHICK-FIL-A #02201 WEST PALM BCH,FL"
3/16/2024,8.77,"SPICE OF INDIA - WEST PAL WEST PALM BEA,FL"
3/14/2024,9.08,"DOMINO'S 5062 NORTH PALM BE,FL"
3/14/2024,25.27,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/13/2024,29.94,"COSTCO GAS #0093 LAKE PARK    ,FL"
3/13/2024,50.25,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/11/2024,-12.84,"AMZN Mktp US Amzn.com/bill,WA"
3/11/2024,34.47,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/11/2024,4.26,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/11/2024,-13.91,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/10/2024,15.91,"MCDONALD'S F6948 MIAMI        ,FL"
3/9/2024,31.94,"AYESHA MIDTOWN 305-549-5237 ,FL"
3/8/2024,29.88,"COSTCO GAS #0093 LAKE PARK    ,FL"
3/8/2024,2.66,"DOMINO'S 3879 WEST PALM BEA,FL"
3/8/2024,24.14,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/8/2024,49.22,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/6/2024,32.86,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/5/2024,50.58,"CNK*CINEMARK.COM 1050 800-246-3627 ,FL"
3/5/2024,12.83,"CINEMARK MOVIE CLUB 800-246-3627 ,TX"
3/5/2024,9.67,"PANDA EXPRESS #2763 PLANTATION   ,FL"
3/5/2024,9.19,"POLLO TROPICAL 10048 OLO olo.com      ,FL"
3/4/2024,33.59,"COSTCO GAS #0093 LAKE PARK    ,FL"
3/4/2024,50.29,"TASTE OF INDIA WEST PALM BEA,FL"
3/4/2024,4.29,"COSTCO WHSE #0093 PALM BEACH GA,FL"
3/1/2024,15.52,"CINEMARK THEATRES 1049 BOYNTON BEACH,FL"
3/1/2024,213.99,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/29/2024,9.08,"DOMINO'S 3879 WEST PALM BEA,FL"
2/29/2024,17.37,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/29/2024,4.77,"SAMSCLUB.COM 888-746-7726 ,AR"
2/27/2024,39.00,"NIC MYDMVPORTAL EGOV.COM     ,FL"
2/26/2024,68.45,"TST* DECCAN SPICE - FL POMPANO BEACH,FL"
2/26/2024,73.60,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/23/2024,9.08,"DOMINO'S 5062 NORTH PALM BE,FL"
2/22/2024,6.91,"COSTCO GAS #0623 ROYAL PALM BE,FL"
2/22/2024,3.21,"PANERA SIP CLUB 204715 O 330-856-3176 ,FL"
2/22/2024,21.98,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
2/21/2024,13.00,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
2/20/2024,18.98,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/19/2024,17.17,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/17/2024,15.97,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/14/2024,13.36,"SQ *YEUNG'S LOTUS EXPRESS Wellington   ,FL"
2/14/2024,12.82,"SQ *SUNELLI ¦ THE MALL AT Wellington   ,FL"
2/14/2024,40.37,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/14/2024,45.57,"JCPENNEY 2789 WELLINGTON   ,FL"
2/12/2024,12.84,"AMZN Mktp US*RB9449VS1 Amzn.com/bill,WA"
2/10/2024,34.19,"COSTCO GAS #0093 LAKE PARK    ,FL"
2/10/2024,9.08,"DOMINO'S 5062 NORTH PALM BE,FL"
2/10/2024,18.17,"DOMINO'S 5062 NORTH PALM BE,FL"
2/10/2024,21.06,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/9/2024,9.08,"DOMINO'S 5062 NORTH PALM BE,FL"
2/9/2024,12.99,"8922 GREAT CLIPS AT FRENC PALM BEACH GA,FL"
2/9/2024,1.34,"DOLLARTREE NORTH PALM BE,FL"
2/8/2024,37.76,"SPICE OF INDIA - WEST PAL WEST PALM BEA,FL"
2/8/2024,7.17,"SPICE OF INDIA - WEST PAL WEST PALM BEA,FL"
2/7/2024,31.31,"COSTCO WHSE #0093 PALM BEACH GA,FL"
2/6/2024,6.41,"Too Good To Go Inc. 178-76184541 ,DE"
2/4/2024,19.04,"AMZN MKTP US*R28NE8DV2 SEATTLE      ,WA"
2/3/2024,32.11,"COSTCO GAS #0345 BOCA RATON   ,FL"
2/3/2024,20.21,"5GUYS 1678 QSR MIAMI        ,FL"
2/3/2024,12.09,"PANDA EXPRESS 1188 DAVIE        ,FL"
2/3/2024,10.15,"THE TIN MAN MIAMI        ,FL"
2/3/2024,245.00,"Dollar Tax Filer Hyderabad    ,II"
2/3/2024,16.98,"COSTCO WHSE #0345 BOCA RATON   ,FL"
2/3/2024,5.86,"COSTCO WHSE #0345 BOCA RATON   ,FL"
2/2/2024,8.17,"TRADER JOE S #772 PALM BEACH GA,FL"
2/1/2024,7.69,"Subway 5890 Palm Beach Ga,FL"
2/1/2024,51.68,"SPICE OF INDIA - WEST PAL WEST PALM BEA,FL"
1/28/2024,11.99,"2975 GREAT CLIPS MARKET P LAKE WORTH   ,FL"
1/28/2024,9.94,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
1/26/2024,31.99,"COSTCO GAS #0093 LAKE PARK    ,FL"
1/26/2024,4.04,"TROPICAL FARMERS MARKET WEST PALM BEA,FL"
1/25/2024,32.86,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/24/2024,4.27,"DOMINO'S 3879 WEST PALM BEA,FL"
1/24/2024,5.89,"DOLLARTREE NORTH PALM BE,FL"
1/23/2024,6.09,"ARAMARK FP AND L JUNO JUNO BEACH   ,FL"
1/23/2024,3.21,"PANERA SIP CLUB 204737 O 330-856-3176 ,FL"
1/23/2024,-24.01,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/22/2024,14.95,"ROSS STORES #645 PALM BCH GDNS,FL"
1/21/2024,11.01,"TROPICAL FARMERS MARKET WEST PALM BEA,FL"
1/20/2024,28.30,"COSTCO GAS #0093 LAKE PARK    ,FL"
1/20/2024,10.33,"IKEA SUNRISE REST SUNRISE      ,FL"
1/20/2024,32.66,"IKEA SUNRISE SUNRISE      ,FL"
1/20/2024,1.61,"IKEA SUNRISE REST SUNRISE      ,FL"
1/20/2024,24.45,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/19/2024,9.08,"DOMINO'S 3879 WEST PALM BEA,FL"
1/19/2024,12.58,"CVS/PHARMACY #03854 PALM BEACH GA,FL"
1/19/2024,20.00,"SQ *ST. CLARE SCHOOL North Palm Be,FL"
1/18/2024,15.24,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/13/2024,8.88,"CHICK-FIL-A #01827 LAKE PARK    ,FL"
1/12/2024,33.68,"COSTCO GAS #0093 LAKE PARK    ,FL"
1/12/2024,14.85,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/11/2024,10.98,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/10/2024,17.87,"PANDA EXPRESS #3007 PALM BEACH GA,FL"
1/10/2024,4.97,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/10/2024,-19.97,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/8/2024,66.32,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/6/2024,13.47,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/6/2024,-13.77,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/5/2024,173.00,"ROYAL PALM PEDIATRICS CEN ROYAL PALM BE,FL"
1/5/2024,60.57,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
1/5/2024,2.13,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
1/4/2024,834.00,"PROGRESSIVE *INSURANCE 800-776-4737 ,OH"
1/2/2024,19.99,"COSTCO GAS #0093 LAKE PARK    ,FL"
1/2/2024,4.26,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/2/2024,62.91,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/2/2024,-40.64,"COSTCO WHSE #0093 PALM BEACH GA,FL"
1/1/2024,19.08,"SHELL OIL 57543664700 FORT LAUDERDA,FL"
